Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Wicked Game (Remastered),Chris Isaak,Best Of Chris Isaak,Soirée Romantique,Playlist,USRE10601455,788457
Fade Into You,Mazzy Star,So Tonight That I Might See,Soirée Romantique,Playlist,USCA29300105,3360821
What A Wonderful World,Louis Armstrong,What A Wonderful World,Soirée Romantique,Playlist,USMC16758823,2538209
Leave The Door Open,Bruno Mars,Leave The Door Open,Soirée Romantique,Playlist,USAT22100906,1260522302
Home Again,Michael Kiwanuka,Home Again (Deluxe Version),Soirée Romantique,Playlist,GBUM71110209,16668499
Me and Mrs. Jones,Billy Paul,Me And Mrs. Jones: The Best Of Billy Paul,Soirée Romantique,Playlist,USSM17200413,82321678
Playground Love,Air,The Virgin Suicides (Original Motion Picture Score),Soirée Romantique,Playlist,FR71S9900001,692074262
Harvest Moon,Neil Young,Harvest Moon,Soirée Romantique,Playlist,USRE19900694,677484
By Your Side (Remastered),Sade,The Ultimate Collection,Soirée Romantique,Playlist,GBARL1100341,10686142
I Say a Little Prayer,Aretha Franklin,Aretha Now,Soirée Romantique,Playlist,USAT20801207,904785
Something About Us,Daft Punk,Discovery,Soirée Romantique,Playlist,GBDUW0000064,3135561
You Got Me,The Roots,Things Fall Apart,Soirée Romantique,Playlist,USMC19858697,88476275
Held Down,Laura Marling,Song For Our Daughter,Soirée Romantique,Playlist,UKKP22000152,914261812
A Real Hero,College,A Real Hero EP,Soirée Romantique,Playlist,FR6V80039200,5092738
Blue Jeans,Lana Del Rey,Born To Die,Soirée Romantique,Playlist,GBUM71111620,18190272
"Can't Get Enough Of Your Love, Babe",Barry White,The 20th Century Records Albums (1973-1979),Soirée Romantique,Playlist,USPR37407059,575086742
Heartbeats,José González,Heartbeats,Soirée Romantique,Playlist,SEVVX0300201,639587852
Colors,Black Pumas,Black Pumas (Deluxe Edition),Soirée Romantique,Playlist,USATO1900023,1027417762
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),Soirée Romantique,Playlist,GBAHS2200019,1645259512
Bring It On Home to Me,Sam Cooke,The Man Who Invented Soul,Soirée Romantique,Playlist,USRC16206739,71190943
Tell It Like It Is,Aaron Neville,Tell It Like It Is - The Par Lo Years,Soirée Romantique,Playlist,NLG620403520,10682513
In a Manner of Speaking,Nouvelle Vague,Nouvelle vague,Soirée Romantique,Playlist,GBEWK0400021,979799882
Moonlight,Kali Uchis,Red Moon In Venus,Soirée Romantique,Playlist,USUM72219486,2166050207
Ballade de Melody Nelson,Serge Gainsbourg,Histoire De Melody Nelson - 40ème Anniversaire,Soirée Romantique,Playlist,FRZ037101920,14404600
Silly Love Songs,Paul McCartney,Pure McCartney (Deluxe Edition),Soirée Romantique,Playlist,GBCCS1400019,126368801
Sign Your Name,Sananda Maitreya,Introducing The Hardline According To Sananda Maitreya,Soirée Romantique,Playlist,GBBBN8700004,1082528
Secret Heart,Feist,Let It Die,Soirée Romantique,Playlist,FRZ020302490,2431293
The Lady in My Life,Michael Jackson,Thriller,Soirée Romantique,Playlist,USSM19902994,831190
For Emma,Bon Iver,"For Emma, Forever Ago",Soirée Romantique,Playlist,US38Y0811508,103512998
(No One Knows Me) Like the Piano,SAMPHA,Process,Soirée Romantique,Playlist,UK7MC1600030,140875593
Call It Dreaming,Iron & Wine,Beast Epic,Soirée Romantique,Playlist,USSUB1717006,393615702
Say Yes,Elliott Smith,Either/Or,Soirée Romantique,Playlist,USKRS0326912,108710816
You and I,Papooz,Night Sketches,Soirée Romantique,Playlist,FR53O1800060,607607482
Forrest Gump,Frank Ocean,channel ORANGE,Soirée Romantique,Playlist,USUM71207191,97328590
Nothing Even Matters (feat. D'Angelo),Ms. Lauryn Hill,The Miseducation of Lauryn Hill,Soirée Romantique,Playlist,USSM19803112,400418972
Honeymoon,Phoenix,United,Soirée Romantique,Playlist,FRS639900097,3135335
It Must Be Love,Madness,Complete Madness,Soirée Romantique,Playlist,GBCZR0000007,143053890
My Mood Is You,Freddy Cole,My Mood Is You,Soirée Romantique,Playlist,USHNR1831201,490071432
The Sun Is Up Forever,Joesef,The Sun Is Up Forever,Soirée Romantique,Playlist,GBKPL2093011,908560132
Gooey,Glass Animals,ZABA (Deluxe),Soirée Romantique,Playlist,GBUM71400655,105555564
YaYaYa,RY X,Unfurl,Soirée Romantique,Playlist,GB5KW1802887,631688782
Loverboy,Joesef,Play Me Something Nice,Soirée Romantique,Playlist,GBKPL1948837,1875176077
Hold You Down,Rhye,Home,Soirée Romantique,Playlist,USC4R2004311,1208865592
So in Love With You,Leroy Hutson,Love Oh Love,Soirée Romantique,Playlist,US2YB7306971,376695931
Say You Love Me Too,Herman Düne,Notes from Vinegar Hill,Soirée Romantique,Playlist,FRPJK2000010,1069996882
Tupelo Honey,Van Morrison,The Essential Van Morrison,Soirée Romantique,Playlist,USQX91501806,114388306
Slow Hand,The Pointer Sisters,The Masters Series: Mellow Groove Vol.2,Soirée Romantique,Playlist,USRC18101745,3960254
Take My Breath Away,Saint DX,SDX,Soirée Romantique,Playlist,FR6P11901270,779164912
Besame Mucho (Anthology 1 Version),The Beatles,Anthology 1,Soirée Romantique,Playlist,GBAYE1100453,122172118
Stroker Ace,Lovage,Lovage: Music to Make Love to Your Old Lady By,Soirée Romantique,Playlist,QMWWU1100015,12219905
Cruisin',D'Angelo,Brown Sugar,Soirée Romantique,Playlist,USEM39500203,139104011
Wonderful Tonight,Eric Clapton,Slowhand 35th Anniversary,Soirée Romantique,Playlist,NLF057790025,62418685
Petals,Bibio,Petals,Soirée Romantique,Playlist,GBBPW1500233,112423586
I'm In Love With You,Poolside,I'm In Love With You,Soirée Romantique,Playlist,QM24S2010827,1134781812
The Two of Us,Omar Apollo,Apolonio,Soirée Romantique,Playlist,USWB12003934,1107333952
Don't Worry Baby (Remastered 2001),The Beach Boys,"Shut Down, Vol. 2 (Remastered)",Soirée Romantique,Playlist,USCA20001605,60452741
"Sunday, Monday or Always",Jimmy Scott,Falling in Love Is Wonderful,Soirée Romantique,Playlist,ZA42A1805198,552409772
Deep Water,Lyves,Deep Water,Soirée Romantique,Playlist,GBKPL1975733,797518322
Doubt,Charlotte Day Wilson,Doubt,Soirée Romantique,Playlist,CAK451704201,423156962
(Another Song) All Over Again,Justin Timberlake,FutureSex/LoveSounds,Soirée Romantique,Playlist,USJI10600488,565137
