Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Co-Pilot,Corneille,Co-Pilot - Single,Soûl Français,Playlist,TCABA1136211,34292091
Avec classe,Corneille,Tropical Love 2,Soûl Français,Playlist,CAD760310206,94196028
Les sommets de nos vies,Corneille,Entre Nord et Sud (Bonus Track Version),Soûl Français,Playlist,FR6F31301100,85758982
Le jour après la fin du monde,Corneille,Le jour après la fin du monde,Soûl Français,Playlist,CAONA1100001,12504612
Sapés comme jamais (feat. Niska) (Pilule bleue),GIMS,Mon coeur avait raison,Soûl Français,Playlist,FR7U61400704,106095102
Brisé (Pilule bleue),GIMS,Mon coeur avait raison,Soûl Français,Playlist,FR7U61400686,106095084
Sur ma route,Black M,Les yeux plus gros que le monde,Soûl Français,Playlist,FR7U61200414,76395840
Je ne dirai rien (feat. The Shin Sekaï & Doomams),Black M,Les yeux plus gros que le monde,Soûl Français,Playlist,FR7U61200402,76395834
On s'fait du mal,Black M,Le monde plus gros que mes yeux,Soûl Français,Playlist,FR7U61400544,89860939
No Me Mires Más,Kendji Girac,Ensemble,Soûl Français,Playlist,FRUM71502137,111024448
Cosmo,Soprano,Cosmopolitanie,Soûl Français,Playlist,FRZ111400704,87669871
Fresh Prince (feat. Uncle Phil),Soprano,Cosmopolitanie,Soûl Français,Playlist,FRZ111400725,87669877
Rosa,Gradur,ShegueyVara 2,Soûl Français,Playlist,FR9W11514742,113989162
Aime-moi demain (feat. Gradur),The Shin Sekaï,Aime-moi demain (feat. Gradur),Soûl Français,Playlist,FR7U61400804,117513852
Zoum Zoum (feat. Djuna Family),GIMS,Zoum Zoum (feat. Djuna Family),Soûl Français,Playlist,FR7U61400884,123801688
Là c'est die,Ridsa,Là c'est die - Single,Soûl Français,Playlist,FR6F31506730,107825974
Alter ego,The Shin Sekaï,Alter ego,Soûl Français,Playlist,FR7U61400842,121329270
Afro Trap Pt. 3 (Champions League),MHD,MHD,Soûl Français,Playlist,FR3IV1600160,122927588
Ma beauté (Pilule violette),GIMS,Ma beauté (Pilule violette),Soûl Français,Playlist,FR7U61400898,125971155
Emotions,Jul,Émotions,Soûl Français,Playlist,FR0U91600707,125890429
Afro Trap Pt. 5 (Ngatie Abedi),MHD,MHD,Soûl Français,Playlist,FR3IV1600040,122927596
Mi Amor,Abou Debeing,Mi Amor,Soûl Français,Playlist,FR7U61400882,123089140
Le Diable ne s'habille plus en Prada,Soprano,Le Diable ne s'habille plus en Prada,Soûl Français,Playlist,FRZ111600318,126219051
Reine,Dadju,Gentleman 2.0,Soûl Français,Playlist,TCADB1727917,429974992
Je peux pas,DJ Erise,Je peux pas,Soûl Français,Playlist,FRZ421600075,142814756
Aveuglé (Mowlo Remix),Hiro,Aveuglé (Mowlo Remix),Soûl Français,Playlist,FRU781704000,354495391
