Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Run Away,Bassjackers,Run Away,Sport Motivation,Playlist,BEIW12000364,1077600052
Everytime We Touch,Upsilone,Everytime We Touch,Sport Motivation,Playlist,FR9W12459748,3091729171
Forever Young,David Guetta,Forever Young,Sport Motivation,Playlist,UKWLG2400102,3040002541
Now Or Never,Pitbull,Now Or Never,Sport Motivation,Playlist,USNPW2400945,3057412261
World Gone Wild (feat. Sam Martin),Robin Schulz,World Gone Wild (feat. Sam Martin),Sport Motivation,Playlist,DEA622403329,2993784201
Seven Nation Army,Gaullin,Seven Nation Army,Sport Motivation,Playlist,DEE862100599,1358909402
Stamp On The Ground,ItaloBrothers,Stamp!,Sport Motivation,Playlist,DEHK91029101,72281666
Animals,Martin Garrix,Animals,Sport Motivation,Playlist,NLZ541300467,2102633427
Alibi (Tiësto Remix),Sevdaliza,Alibi (Tiësto Remix),Sport Motivation,Playlist,NL47E2400023,3089789641
Mwaki,Zerb,SURRENDER,Sport Motivation,Playlist,NLRD52339318,2461506635
God Is A Girl,Sound Of Legend,God Is A Girl,Sport Motivation,Playlist,FRPG72300010,2309134745
Alibi (feat. Rudimental),Ella Henderson,Alibi (feat. Rudimental),Sport Motivation,Playlist,GBAHS2301557,2610580592
In My Mind,Dynoro,In My Mind,Sport Motivation,Playlist,QZ22B1859046,505204262
Save The World,Swedish House Mafia,Save The World,Sport Motivation,Playlist,GBAAA1100047,11234004
Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),Sport Motivation,Playlist,GBARL2301712,2545396411
Starlight,Drenchill,Starlight,Sport Motivation,Playlist,DEMA61906040,2106756047
Hello,Martin Solveig,Smash,Sport Motivation,Playlist,FR2PA1000020,2550920662
Day 'N' Nite (Crookers Remix),Kid Cudi,Man On The Moon: The End Of Day (Int'l Version),Sport Motivation,Playlist,USUM70957532,4232307
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Sport Motivation,Playlist,FRY682000003,951371292
Sexy Bitch (feat. Akon),David Guetta,One More Love,Sport Motivation,Playlist,FRZID0900500,673165762
This Is What You Came For,Calvin Harris,This Is What You Came For,Sport Motivation,Playlist,GBARL1600460,123883254
Walking Away (Infinity),Matway,Walking Away (Infinity),Sport Motivation,Playlist,DEE862500058,3194135561
One (Your Name) (Radio Edit),Swedish House Mafia,One (Your Name),Sport Motivation,Playlist,GBAAA1000165,6588199
Belly Dancer,Imanbek,Belly Dancer,Sport Motivation,Playlist,NLZ542200165,1650410302
I Follow Rivers,Tiësto,Prismatic: Pack One,Sport Motivation,Playlist,CYA112400023,3185112831
The Magic Key,Trinix,The Magic Key,Sport Motivation,Playlist,QM4TX2333885,2179672997
Five More Hours,Deorro,Five More Hours,Sport Motivation,Playlist,USUS11203275,97339348
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) (Cedric Gervais Remix),Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) (Cedric Gervais Remix),Sport Motivation,Playlist,GBUM71304610,69419038
Rock My Body,R3HAB,Rock My Body,Sport Motivation,Playlist,AEA2D2300315,2221221937
Lost on You,Djudah,Lost on You,Sport Motivation,Playlist,FRDBD2500350,3353847271
Break Your Heart,Bormin',Break Your Heart,Sport Motivation,Playlist,FR6F32501130,3315060201
Believe (Shooting Stars),R3HAB,Believe (Shooting Stars),Sport Motivation,Playlist,AEA2D2400433,3050727361
Monster Paradise,Naeleck,Monster Paradise,Sport Motivation,Playlist,FR9W12510301,3342654271
Exotica,Gabry Ponte,Exotica,Sport Motivation,Playlist,ITV952400346,3175052941
Push Up (Main Edit),Creeds,Push Up (Main Edit),Sport Motivation,Playlist,DEE862300564,2217938297
Hypnotized,Anyma,Hypnotized,Sport Motivation,Playlist,USUG12407612,3168145801
