Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,Summer Party,Playlist,UKWLG2400013,2715243342
Wacuka,AVAION,Wacuka,Summer Party,Playlist,DEE862402296,3130053941
Stumblin' In,Cyril,Stumblin' In,Summer Party,Playlist,NLZ542301810,2537448451
Flores Blancas,Faul & Wad,Flores Blancas,Summer Party,Playlist,USUS12500005,3176059481
"Miçanga (feat. BaianaSystem) [with Alok, Kawz]",SOMETHING ELSE,"Miçanga (feat. BaianaSystem) [with Alok, Kawz]",Summer Party,Playlist,BCCNG2500012,3175511691
Supernature,Cerrone,3 - Supernature,Summer Party,Playlist,FRF887700150,1013210122
Music Sounds Better With You (Radio Edit),Stardust,Music Sounds Better With You,Summer Party,Playlist,FR11Q9800001,695110942
I LUV U (Sunny),Alex Gaudino,I LUV U (Sunny),Summer Party,Playlist,ITV952400295,2791938852
Set My Heart On Fire (I'm Alive x And The Beat Goes On),Majestic,Set My Heart On Fire (I'm Alive x And The Beat Goes On),Summer Party,Playlist,GBARL2400539,2775386831
Back On 74,Jungle,Volcano,Summer Party,Playlist,QM4TX2336316,2181330357
D.A.N.C.E (Radio Edit),Justice,D.A.N.C.E,Summer Party,Playlist,FR0NT0600380,10284847
(It Goes Like) Nanana (Edit),Peggy Gou,(It Goes Like) Nanana (Edit),Summer Party,Playlist,GBBKS2300080,2297911845
Little Things x Gypsy Woman (L BEATS MASHUP),Jorja Smith,Little Things x Gypsy Woman (L BEATS MASHUP),Summer Party,Playlist,QM7282376030,2342419205
Sunshine (My Girl),Wuki,Sunshine (My Girl),Summer Party,Playlist,QZFPL2100424,2425831315
It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,Summer Party,Playlist,NLP762300246,2589549242
For Life (feat. Nile Rodgers),Kygo,For Life (feat. Nile Rodgers),Summer Party,Playlist,USRC12400376,2742713321
Saving Up,Dom Dolla,Saving Up,Summer Party,Playlist,USQX92305379,2472925871
More Than A Woman (SG's Paradise Edit),Bee Gees,More Than A Woman (SG's Paradise Edit),Summer Party,Playlist,USUM72109593,1408761092
Ritmo,Raffa FL,Ritmo,Summer Party,Playlist,GBKQU2168827,1672014217
Bailar contigo,Black Eyed Peas,Elevation,Summer Party,Playlist,USSM12209676,1983491767
Afraid To Feel,LF System,Afraid To Feel,Summer Party,Playlist,GBAHT2200492,1703521177
Aguila (feat. Cumbiafrica),HUGEL,Aguila (feat. Cumbiafrica),Summer Party,Playlist,DEA622200893,2206923367
Fresh (House of Prayers Poolside Edit),Crazibiza,Fresh,Summer Party,Playlist,HUA480901330,2250063187
Miracle,Calvin Harris,Miracle,Summer Party,Playlist,GBARL2300300,2182322087
How You Samba,Kris Kross Amsterdam,How You Samba,Summer Party,Playlist,NLS242200167,2268465927
Love Tonight (Edit),Shouse,Love Tonight,Summer Party,Playlist,USQY51798087,435303972
Premier Gaou (Nitefreak Remix),Francis Mercier,Premier Gaou (Nitefreak Remix),Summer Party,Playlist,NLZ542101608,1519398642
SAXO (Anton Wick Remix),Laurent Wolf,SAXO (Anton Wick Remix),Summer Party,Playlist,BE4MO2300040,2247669857
Quando Quando,The Avener,Quando Quando,Summer Party,Playlist,FRV602200022,1735302347
I'm Good (Blue),David Guetta,I'm Good (Blue),Summer Party,Playlist,UKWLG2200055,1874467717
Jubel,Klingande,Jubel EP,Summer Party,Playlist,FR6V81680341,102875744
DESPECHÁ,ROSALÍA,DESPECHÁ,Summer Party,Playlist,USSM12207207,1841999507
BREAK MY SOUL,Beyoncé,BREAK MY SOUL,Summer Party,Playlist,USSM12206234,1797297127
Superstar,Stefy De Cicco,Superstar,Summer Party,Playlist,ITG412300001,2076178387
World Hold On (FISHER Rework),Bob Sinclar,World Hold On (FISHER Rework),Summer Party,Playlist,FR4E42227000,1803027397
Prayer in C (Robin Schulz Remix) [Radio Edit],Lilly Wood And The Prick,Prayer In C (Robin Schulz Remix) [Radio Edit] - Single,Summer Party,Playlist,DEA621400286,79223833
Maria Maria,TECH IT DEEP,Maria Maria,Summer Party,Playlist,NL7ZX2200001,2138929257
Ani Kuni,Polo & Pan,Ani Kuni,Summer Party,Playlist,FRPDG2100170,1359861952
