Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),Top USA,Playlist,USUYG1541249,2729273551
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,Top USA,Playlist,USAT22001300,2454854845
Anxiety,Doechii,Anxiety,Top USA,Playlist,USUG12500650,3262675101
What I Want,Morgan Wallen,I’m The Problem,Top USA,Playlist,USUG12501601,3366676861
Messy,Lola Young,Messy,Top USA,Playlist,GBUM72401610,2815968782
Beautiful Things,Benson Boone,Beautiful Things,Top USA,Playlist,USWB12307016,2610711672
APT.,Rosé,APT.,Top USA,Playlist,USAT22409172,3050380851
Ordinary,Alex Warren,Ordinary,Top USA,Playlist,USAT22500463,3210709941
luther,Kendrick Lamar,GNX,Top USA,Playlist,USUG12408496,3106586641
Die With A Smile,Lady Gaga,Die With A Smile,Top USA,Playlist,USUM72409273,2947516331
Taste,Sabrina Carpenter,Short n' Sweet,Top USA,Playlist,USUM72404100,2954912511
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),Top USA,Playlist,USWB12302315,2319265555
TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,Top USA,Playlist,USSM12401302,2658723742
I Had Some Help,Post Malone,I Had Some Help,Top USA,Playlist,USUM72404990,2780753191
Scared To Start,Michael Marcagi,Scared To Start,Top USA,Playlist,USWB12400001,2609033982
Miles On It,Marshmello,Miles On It,Top USA,Playlist,QZZVQ2400059,2769846461
Apple,Charli xcx,BRAT,Top USA,Playlist,USAT22401350,2833834872
Pink Skies,Zach Bryan,Pink Skies,Top USA,Playlist,USWB12401947,2814830342
Residuals,Chris Brown,11:11 (Deluxe),Top USA,Playlist,USRC12400942,2742721261
Make You Mine,Madison Beer,Make You Mine,Top USA,Playlist,USSM12400758,2652032112
Neverender,Justice,Hyperdrama,Top USA,Playlist,FR8EU2300010,2593814512
Belong Together,Mark Ambor,Belong Together,Top USA,Playlist,QM24S2400638,2676462772
Houdini,Dua Lipa,Houdini,Top USA,Playlist,GBAHT2301246,2525537871
Hell N Back (feat. Summer Walker),Bakar,Halo,Top USA,Playlist,GBARL2300802,2461123655
Stargazing,Myles Smith,Stargazing,Top USA,Playlist,GBARL2400510,2758844701
360,Charli xcx,BRAT,Top USA,Playlist,USAT22401341,2833834772
Juna,Clairo,Charm,Top USA,Playlist,USA2P2416229,2759124521
Am I Okay?,Megan Moroney,Am I Okay?,Top USA,Playlist,USQX92401667,2881248402
i like the way you kiss me,Artemas,i like the way you kiss me,Top USA,Playlist,QZJ842400387,2706736172
Not My Fault,Reneé Rapp,Not My Fault,Top USA,Playlist,USUM72318541,2585772662
End of Beginning,Djo,DECIDE,Top USA,Playlist,GBKPL2205058,1899060227
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,Top USA,Playlist,USUM72401993,2801558062
Just In Case,Morgan Wallen,Just In Case,Top USA,Playlist,USUG12501602,3278152451
No One Noticed,The Marías,Submarine,Top USA,Playlist,USAT22307579,2816073752
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,Top USA,Playlist,USUG12401766,2853373112
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Top USA,Playlist,USUG12401040,2757496031
The Giver,Chappell Roan,The Giver,Top USA,Playlist,USUG12501598,3273194641
Love Somebody,Morgan Wallen,Love Somebody,Top USA,Playlist,USUG12406387,3040572191
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,Top USA,Playlist,USUM72317276,2690050002
This Heart,Corey Kent,This Heart,Top USA,Playlist,USRN12300106,2624937582
Guy For That,Post Malone,Guy For That,Top USA,Playlist,USUM72405595,2906711721
I Never Lie,Zach Top,Cold Beer & Country Music,Top USA,Playlist,QZWH32400054,2637699522
weren't for the wind,Ella Langley,weren't for the wind,Top USA,Playlist,USSM12403681,3024074841
Happen To Me,Russell Dickerson,Happen To Me,Top USA,Playlist,USQX92500375,3208907691
