Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Bad and Boujee (feat. Lil Uzi Vert),Migos,Bad and Boujee (feat. Lil Uzi Vert) [Explicit Version],Trap US',Playlist,QMCE31600796,136297488
Cut It (feat. Young Dolph),O.T. Genasis,Cut It (feat. Young Dolph),Trap US',Playlist,USAT21503392,107765380
Party,Chris Brown,Party,Trap US',Playlist,USRC11602722,138128165
HUMBLE.,Kendrick Lamar,DAMN.,Trap US',Playlist,USUM71703085,350171311
Self-Made,Bryson Tiller,True to Self,Trap US',Playlist,USRC11700949,365649481
T-Shirt,Migos,Culture,Trap US',Playlist,QMCE31600872,140721775
MotorSport,Migos,MotorSport,Trap US',Playlist,USUM71712002,422354272
Peek A Boo,Lil Yachty,Peek A Boo,Trap US',Playlist,USUM71703503,347380981
KMT,Drake,More Life,Trap US',Playlist,USCM51700063,144572234
0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up,Trap US',Playlist,USCM51400222,81312438
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",Trap US',Playlist,USRC11701090,365114321
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,Trap US',Playlist,USSM11607555,132201196
Birthday Song,2 Chainz,Based On A T.R.U. Story,Trap US',Playlist,USUM71207262,52487701
Best Friend,Young Thug,Best Friend,Trap US',Playlist,USAT21503842,112856766
"How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)",DJ Khaled,"How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)",Trap US',Playlist,USQX91500793,99480400
Panda,Desiigner,Panda,Trap US',Playlist,USUM71601094,120026876
Bake Sale (feat. Travis Scott),Wiz Khalifa,Bake Sale (feat. Travis Scott),Trap US',Playlist,USAT21600151,117650474
Both (feat. Drake),Gucci Mane,The Return of East Atlanta Santa,Trap US',Playlist,USAT21603373,139098911
Lock Doh,Giggs,Landlord,Trap US',Playlist,GB7QY1600096,134781036
Love Me,Lil Wayne,Love Me,Trap US',Playlist,USCM51300001,63565179
Faded (Album Version Explicit),Tyga,Faded,Trap US',Playlist,USUM71200321,16099818
Rake It Up,Yo Gotti,Gotti Made-It,Trap US',Playlist,USUYG1143972,368700061
No Shopping,French Montana,No Shopping,Trap US',Playlist,USCM51600277,128706823
Lifestyle,Rich Gang,Lifestyle,Trap US',Playlist,USCM51400196,79502286
We Dem Boyz,Wiz Khalifa,Blacc Hollywood (Deluxe),Trap US',Playlist,USAT21400212,82410902
Rolex,Ayo & Teo,Rolex,Trap US',Playlist,USSM11702948,144293068
No Worries,Lil Wayne,No Worries,Trap US',Playlist,USCM51200671,60771851
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,Blasé (feat. Future & Rae Sremmurd),Trap US',Playlist,USAT21501456,103071660
All The Way Up,Fat Joe,All The Way Up (feat. Infared) - Single,Trap US',Playlist,USUYG1095627,120150030
It's A Vibe,2 Chainz,Pretty Girls Like Trap Music,Trap US',Playlist,USUM71701465,374051801
Dawsin's Breek (feat. Jeremih),Ty Dolla $ign,Beach House 3,Trap US',Playlist,USAT21703787,420749062
Oh Lord,Rich Homie Quan,We Are the South,Trap US',Playlist,QM6P41507174,116253786
Believe Dat (Album Version Explicit),Birdman,5 * Stunna,Trap US',Playlist,USCM50700997,914465
We Still in this Bitch (feat. T.I. and Juicy J),B.o.B,Underground Luxury,Trap US',Playlist,USAT21207538,72934533
King's Dead,Jay Rock,King's Dead,Trap US',Playlist,USUM71714093,448618242
Gucci Gang,Lil Pump,Gucci Gang,Trap US',Playlist,USWB11701486,399023232
Juice,Yo Gotti,I Still Am,Trap US',Playlist,USSM11708940,421491942
Plain Jane REMIX (feat. Nicki Minaj),A$AP Ferg,Plain Jane REMIX (feat. Nicki Minaj),Trap US',Playlist,USRC11703650,441200532
Bartier Cardi (feat. 21 Savage),Cardi B,Bartier Cardi (feat. 21 Savage),Trap US',Playlist,USAT21705413,443060772
High End,Chris Brown,High End,Trap US',Playlist,USRC11702532,415225082
Hookah,Tyga,Hookah,Trap US',Playlist,USCM51400085,77484982
Man Of The Year,Schoolboy Q,Man Of The Year,Trap US',Playlist,USUM71314029,72933908
Stir Fry,Migos,Culture II,Trap US',Playlist,USUM71714081,453844322
Letterman,Wiz Khalifa,Letterman,Trap US',Playlist,USAT21704854,424949272
God's Plan,Drake,Scary Hours,Trap US',Playlist,USCM51800004,452224802
Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),Trap US',Playlist,USWB11800211,459197002
Codeine Dreaming (feat. Lil Wayne),Kodak Black,Project Baby 2: All Grown Up (Deluxe Edition),Trap US',Playlist,USAT21705082,430494182
Jumpman,Drake,What A Time To Be Alive,Trap US',Playlist,USCM51500300,107878888
MotorSport,Migos,Culture II,Trap US',Playlist,USUM71712002,453844402
