Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Ça va aller,Nabila,Ça va aller,dou camer,Playlist,TCADR1830198,689886402
Mouto,Cysoul,Illusions,dou camer,Playlist,CIUM72100001,1225419282
Jusqu'à la gare,Daphné,Very New Best,dou camer,Playlist,QM6P41935142,710266652
Quand tu n'es pas là,Charlotte Dipanda,Quand tu n'es pas là,dou camer,Playlist,CIUM71900070,926343812
Elle n'a pas vu,Charlotte Dipanda,Massa,dou camer,Playlist,FR9W11418446,93634448
Coucou,Charlotte Dipanda,Dube L'am,dou camer,Playlist,CIUM72000205,926353342
A jamais,Mr Shyne,A jamais,dou camer,Playlist,FR0Z50072740,1501954042
Longuè,Charlotte Dipanda,Mispa,dou camer,Playlist,CIUM72000232,927767952
Massa (Introspection),Charlotte Dipanda,Massa,dou camer,Playlist,FR9W11418445,93634446
Coeur en cage,Charlotte Dipanda,Coeur en cage,dou camer,Playlist,CIUM72000381,1148237742
Un jour dans ma vie,Charlotte Dipanda,Un jour dans ma vie,dou camer,Playlist,FRPBL1704640,914508552
Poa'lag,KAREYCE FOTSO,Kwegne,dou camer,Playlist,BEW091002508,6542409
Pac-ler Francaise,KAREYCE FOTSO,Kwegne,dou camer,Playlist,BEW091002509,6542410
reviens moi,Ful,reviens moi,dou camer,Playlist,FR9HE2002290,873117242
Ne me mens pas,Ful,Ne me mens pas,dou camer,Playlist,QM4TW2122555,1208170562
Besoin de sourire,Tenor,Besoin de sourire,dou camer,Playlist,CIUM71900012,661550302
Au mariage de ma go,Locko,Au mariage de ma go,dou camer,Playlist,CIUM72000337,1033704362
Pardonner,Locko,Era,dou camer,Playlist,CIUM72100133,1590639442
Booboo,Locko,The Bridge,dou camer,Playlist,CIUM71800012,534370602
Let Go,Locko,Let Go,dou camer,Playlist,CIUM71900006,642695462
Sawa Romance,Locko,Skyzo,dou camer,Playlist,CIUM71800025,534375312
Je serai là,Locko,The Bridge,dou camer,Playlist,CIUM71800003,534370512
Hein Hein Hein,Locko,Hein Hein Hein,dou camer,Playlist,CIUM71800036,588274302
Mêmes mêmes choses (Remastered),Locko,Locked Up,dou camer,Playlist,CIUM72000274,967521552
Margo,Locko,Skyzo,dou camer,Playlist,CIUM71800020,534375262
Mash Up,Kameni,Mash Up,dou camer,Playlist,FR10S1929880,624665642
"Mashup, pt. 2 (Locko, teni, burna boy)",Kameni,"Mashup, pt. 2 (Locko, teni, burna boy)",dou camer,Playlist,FR10S1951043,632368792
Ghetto,Kameni,Love and Hustle,dou camer,Playlist,USHM92042169,1045922502
Nayo Nayo,Kameni,Nayo Nayo,dou camer,Playlist,FR96X1921672,737970432
Nobody Has to Know,Kameni,Nobody Has to Know,dou camer,Playlist,FR2X41921999,659554302
Boss,Kameni,Boss,dou camer,Playlist,FR2X41943610,667219912
