Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
1+1,Beyoncé,4,douceurs 🙃,Playlist,USSM11102635,66190263
Flaws and All,Beyoncé,B'Day Deluxe Edition,douceurs 🙃,Playlist,USSM10700708,13131053
Are You Gone Already,Nicki Minaj,Pink Friday 2,douceurs 🙃,Playlist,USUM72318683,2576851232
Memories,Maroon 5,JORDI (Deluxe),douceurs 🙃,Playlist,USUM71913350,1400843202
Holy Ghost,Omah lay,Holy Ghost,douceurs 🙃,Playlist,USWB12306574,2517734421
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),douceurs 🙃,Playlist,GBAHS1400099,79875064
Je vais faire semblant,Impar,X,douceurs 🙃,Playlist,QZTB42351973,2485039021
Crawl,Chris Brown,Graffiti (Expanded Edition),douceurs 🙃,Playlist,USJI10900689,651859882
Cry Me a River,Justin Timberlake,Justified,douceurs 🙃,Playlist,USJI10200366,969494
Mon soleil,Princess Lover,Juste moi… (Part 1),douceurs 🙃,Playlist,FR72X0300556,97877154
STAY,The Kid Laroi,STAY,douceurs 🙃,Playlist,USSM12103949,1425844092
Gimme Love,Sia,Gimme Love,douceurs 🙃,Playlist,USAT22307798,2414222995
Vendeur d'illusions,Josey,Vendeur d'illusions,douceurs 🙃,Playlist,FRX201705393,410360762
Finesse,Pheelz,Finesse,douceurs 🙃,Playlist,QZQAY2239272,1687241937
Burn (Album Version/Radio Mix),USHER,Confessions,douceurs 🙃,Playlist,USAR10301434,13138941
Another Love,Tom Odell,Long Way Down (Deluxe),douceurs 🙃,Playlist,GBARL1300107,65723649
I Drink Wine,Adele,30,douceurs 🙃,Playlist,USSM12105975,1557137152
DCDR (Episode 1),Singuila,Dans la cage du rossignol,douceurs 🙃,Playlist,CIUM72000240,925094912
Right Thru Me,Nicki Minaj,Pink Friday (Complete Edition),douceurs 🙃,Playlist,USCM51000676,1140884782
"Recomposed By Max Richter: Vivaldi, The Four Seasons : Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1 (2012)",Max Richter,Voyager - Essential Max Richter,douceurs 🙃,Playlist,DEUM71201995,765859312
Adorn,Miguel,Kaleidoscope Dream: The Water Preview,douceurs 🙃,Playlist,USRC11200647,51867991
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),douceurs 🙃,Playlist,GBUM71704089,422202502
To Build A Home,The Cinematic Orchestra,Ma Fleur,douceurs 🙃,Playlist,GBCFB0700100,10237962
Photograph,Ed Sheeran,x (Deluxe Edition),douceurs 🙃,Playlist,GBAHS1400094,79875054
It's OK (Live MHS Studios),Nightbirde,It's OK (Live MHS Studios),douceurs 🙃,Playlist,QZFZ32106477,2015565007
In This Shirt,The Irrepressibles,"From the Circus to the Sea, Pt. 2",douceurs 🙃,Playlist,GBUM70916363,1698799357
