Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Long As I Live,Toni Braxton,Sex & Cigarettes,my soulmate,Playlist,USUM71800544,474654812
Don't Trip,Zacari,Run Wild Run Free,my soulmate,Playlist,TCAEB1932775,646738512
On Bended Knee (The Four Performance),James Graham,On Bended Knee (The Four Performance),my soulmate,Playlist,USUM71809849,526294582
Fix You (The Four Performance),James Graham,Fix You (The Four Performance),my soulmate,Playlist,USUM71810876,535506872
Focus (The Four Performance),Leah Jenea,Focus (The Four Performance),my soulmate,Playlist,USUM71810595,532437352
Somebody Loves You Baby (The Four Performance),Ali Caldwell,Somebody Loves You Baby (The Four Performance),my soulmate,Playlist,USUM71809851,526288672
Magic (The Four Performance),Vincint Cannady,Magic (The Four Performance),my soulmate,Playlist,USUM71801247,456808622
Creep (The Four Performance),Vincint Cannady,Creep (The Four Performance),my soulmate,Playlist,USUM71801689,459253372
Escape,Kehlani,SweetSexySavage (Deluxe),my soulmate,Playlist,USAT21603509,140861973
You Should Be Here,Kehlani,You Should Be Here,my soulmate,Playlist,USAT21500810,98936078
Deserve Better,Kehlani,Cloud 19,my soulmate,Playlist,USA2P1818681,472729762
I Wanna Be,Kehlani,SweetSexySavage (Deluxe),my soulmate,Playlist,USAT21603515,140861985
The Letter,Kehlani,You Should Be Here,my soulmate,Playlist,USAT21500815,98936092
Call Out My Name (The Four Performance),Leah Jenea,Call Out My Name (The Four Performance),my soulmate,Playlist,USUM71810314,529390601
A Song For You (The Four Performance),James Graham,A Song For You (The Four Performance),my soulmate,Playlist,USUM71807768,509420522
Human Nature (The Four Performance),James Graham,Human Nature (The Four Performance),my soulmate,Playlist,USUM71809236,519592182
Foolish,Ashanti,Ashanti,my soulmate,Playlist,USDJ20200199,1125953
Be Without You (Kendu Mix),Mary J. Blige,Reflections - A Retrospective,my soulmate,Playlist,USUM70505512,1161682
i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",my soulmate,Playlist,USUM71900773,655096022
Back In My Body,Maggie Rogers,Heard It In A Past Life,my soulmate,Playlist,USUG11801652,616965152
All Of Me,John Legend,All Of Me,my soulmate,Playlist,USSM11303954,69405360
Never Enough,Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack),my soulmate,Playlist,USAT21704621,435175502
I Need Ur Love,Tink,Voicemails,my soulmate,Playlist,USUYG1250793,667484902
Best Part (feat. H.E.R.),Daniel Caesar,Freudian,my soulmate,Playlist,CADDS1700022,390213151
Last Time Together,Chris Brown,In My Zone 1 & 2,my soulmate,Playlist,USA2P1818522,472731682
Location,Dave,PSYCHODRAMA,my soulmate,Playlist,GBUM71900578,642999082
Bae (feat. Afro B),Tion Wayne,Bae (feat. Afro B),my soulmate,Playlist,TCACH1559595,105672552
Find Your Love,Drake,Thank Me Later (Int'l Version),my soulmate,Playlist,USCM51000166,6297755
Fall Mashup,Nana Fofie,Fall Mashup,my soulmate,Playlist,TCAEA1828565,610546532
Dangerous (feat. Jeremih and PnB Rock),Meek Mill,Championships,my soulmate,Playlist,USAT21803440,596680582
Girls Need Love,Summer Walker,Last Day Of Summer,my soulmate,Playlist,USUM71809283,642673832
Tem Coisas Assim (feat. Cubita),Mr. Carly,Tem Coisas Assim (feat. Cubita),my soulmate,Playlist,UKBNV1000096,425345612
Uma Chance (Remix),Mur Music,Uma Chance,my soulmate,Playlist,PT4CA1530383,102926688
All the Time,Ty Dolla $ign,Beach House 3,my soulmate,Playlist,USAT21703934,420749132
iT's YoU,ZAYN,iT's YoU,my soulmate,Playlist,USRC11600333,119936612
Boo'd Up,Ella Mai,Ella Mai,my soulmate,Playlist,USUM71814738,564946502
Over It,Summer Walker,Over It,my soulmate,Playlist,USUM71919102,765794252
Anna Mae,Summer Walker,Over It,my soulmate,Playlist,USUM71919083,765794382
Soirée parisienne (feat. Jizo Djohn.P),Aya Nakamura,Journal intime,my soulmate,Playlist,FRZ041700641,397141402
Tudo Pa Bo,Denis Graça,Tudo Pa Bo,my soulmate,Playlist,USCGJ1875171,480109132
There You Are,ZAYN,Icarus Falls,my soulmate,Playlist,USRC11803754,604054122
P*$$Y Fairy (OTW),Jhené Aiko,P*$$Y Fairy (OTW),my soulmate,Playlist,USUM72000367,850957472
Stickwitu,The Pussycat Dolls,PCD,my soulmate,Playlist,USUM70503127,1161008
Quite Miss Home,James Arthur,YOU,my soulmate,Playlist,DEE861903417,770299542
Wait For You,Melvitto,THENIGHTISYOUNG.,my soulmate,Playlist,TCAEC1908729,741093462
Lettre à une femme,Ninho,M.I.L.S 3,my soulmate,Playlist,FR9W12003586,898651622
Conqueror,Estelle,True Romance,my soulmate,Playlist,QMRSZ1401199,510808852
Feels,Kehlani,While We Wait,my soulmate,Playlist,USAT21901110,635331062
Un-Break My Heart,Toni Braxton,The Essential Toni Braxton,my soulmate,Playlist,USLF29600015,567656
Impossible,Shontelle,No Gravity,my soulmate,Playlist,USUM71002550,7025108
Power Over Me,Dermot Kennedy,Dermot Kennedy,my soulmate,Playlist,USUG11802208,610861462
Believe In Love,Damar Jackson,Believe In Love,my soulmate,Playlist,USUYG1235081,612681552
How Do You Sleep?,Sam Smith,How Do You Sleep?,my soulmate,Playlist,GBUM71902381,712113642
How You Gonna Act Like That,Tyrese,I Wanna Go There,my soulmate,Playlist,USJAY0200510,967375
How That Taste,Kehlani,You Should Be Here,my soulmate,Playlist,USAT21500385,98936080
Try Sleeping with a Broken Heart,Alicia Keys,The Element Of Freedom,my soulmate,Playlist,USJAY0900254,4761583
Punition,Fally Ipupa,Control,my soulmate,Playlist,FRY681800029,576839382
N'Tamabo,Puto X,N'Tamabo,my soulmate,Playlist,FR9W11720039,410360642
Un-thinkable (I'm Ready),Alicia Keys,The Element Of Freedom,my soulmate,Playlist,USJAY0900287,4761586
Kuyuyu,Landrick,Zolana,my soulmate,Playlist,TCADR1844252,518606862
Sak pase,Nickson,Sak pase,my soulmate,Playlist,FR0U91701013,405564472
Naked,James Arthur,Naked,my soulmate,Playlist,DEE861702596,426572802
Overtime,Chris Brown,Indigo (Extended),my soulmate,Playlist,USRC11902742,764364522
Go Crazy,Chris Brown,Slime & B,my soulmate,Playlist,USRC12001468,950963452
This Woman's Work (Uncut),Maxwell,Now,my soulmate,Playlist,USSM10107705,871045
D & G (feat. Summer Walker),Davido,A Good Time,my soulmate,Playlist,GBARL1901211,813353132
I'll Be Who You Love (This Christmas),Trevor Jackson,I'll Be Who You Love (This Christmas),my soulmate,Playlist,USAT21304635,72999284
The Matrimony (feat. Usher),Wale,The Matrimony (feat. Usher),my soulmate,Playlist,USAT21500517,95976184
Whatever You Like,T.I.,Paper Trail,my soulmate,Playlist,USAT20803169,383742081
Magico,Mika Mendes,Dança Kizomba (Vol. 1),my soulmate,Playlist,FR6V81204397,16139849
Let Go,Locko,Let Go,my soulmate,Playlist,CIUM71900006,642695462
SEÑORITA,Zion Foster,SEÑORITA,my soulmate,Playlist,USUYG1304275,926571292
As I Am,H.E.R.,I Used To Know Her,my soulmate,Playlist,USRC11802597,738911462
OTW (feat. 6LACK & Ty Dolla $ign),Khalid,OTW (feat. 6LACK & Ty Dolla $ign),my soulmate,Playlist,USRC11801716,489034862
Dangerously in Love,MHPG Sound,World.Wide.Web,my soulmate,Playlist,TCAEP2026001,845701682
Vida,Marcia,Marcia,my soulmate,Playlist,FR72X0600101,9011580
Happiness,Alexis Jordan,Alexis Jordan,my soulmate,Playlist,USQX91000209,12896519
Surrender,Natalie Taylor,Surrender,my soulmate,Playlist,USQX92001180,924228832
Poetic Justice,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",my soulmate,Playlist,USUM71211004,67929158
Never Knew I Needed,Ne-Yo,The Princess and the Frog (Original Motion Picture Soundtrack),my soulmate,Playlist,USWD10936984,534375612
Can I,Kehlani,It Was Good Until It Wasn't,my soulmate,Playlist,USAT22002468,953883302
Body,Summer Walker,Over It,my soulmate,Playlist,USUM71919084,765794262
Stretch You Out,Summer Walker,Over It,my soulmate,Playlist,USUM71919082,765794362
Change Your Life (feat. Jhené Aiko),Kehlani,It Was Good Until It Wasn't,my soulmate,Playlist,USAT22002472,953883342
Open (Passionate),Kehlani,It Was Good Until It Wasn't,my soulmate,Playlist,USAT22002478,953883422
Recuar (feat. Soraia Ramos),Ravidson,Rising,my soulmate,Playlist,TCACF1590194,100787900
Ògógóro No Sweet Pass Pami,Mr Eazi,One Day You Will Understand,my soulmate,Playlist,QMGR32043617,962848372
Someone You Loved,Lewis Capaldi,Breach,my soulmate,Playlist,DEUM71807062,582143242
"U Move, I Move (feat. Jhene Aiko)",John Legend,Bigger Love,my soulmate,Playlist,USSM12003403,992597622
Every Kind Of Way,H.E.R.,H.E.R.,my soulmate,Playlist,USRC11700627,417767182
True Colors (The Four Performance),Leah Jenea,True Colors (The Four Performance),my soulmate,Playlist,USUM71810878,535506352
Right Back (feat. A Boogie Wit Da Hoodie),Khalid,Right Back (feat. A Boogie Wit Da Hoodie),my soulmate,Playlist,USRC11902029,723000812
Feel Your Touch,AUBURN,Feel Your Touch,my soulmate,Playlist,TCAEF1947413,676282252
Rivals (feat. Future),USHER,Hard II Love,my soulmate,Playlist,USRC11601159,611666282
LOVE.,Kendrick Lamar,DAMN.,my soulmate,Playlist,USUM71703088,350171331
U,H.E.R.,H.E.R.,my soulmate,Playlist,USRC11601789,417767172
Because Of You,Ne-Yo,Because Of You,my soulmate,Playlist,USUM70731570,1102966
Lights Down Low (feat. Waka Flocka Flame),Maejor,Lights Down Low (feat. Waka Flocka Flame),my soulmate,Playlist,USRC11200140,17561250
Control,Zoe Wees,Control,my soulmate,Playlist,GB2DY2000093,898849382
Face,Good Girl,Face,my soulmate,Playlist,USRC12002317,1067934572
Damage,H.E.R.,Damage,my soulmate,Playlist,USRC11903897,1107829172
Holla If Ya Need Me,Trey Songz,Ready,my soulmate,Playlist,USAT20901270,4134368
Sentiments grandissants,Aya Nakamura,AYA,my soulmate,Playlist,FRZ042001037,1137703372
Ginger Me,Rema,Ginger Me,my soulmate,Playlist,NGA3B2014009,991306972
Hottest in the City,Ty Dolla $ign,Hottest in the City,my soulmate,Playlist,USAT21904209,727926912
No Fit Vex,Burna Boy,Twice As Tall,my soulmate,Playlist,USAT22005331,1049856392
Va dire à ton ex,Dadju,Poison Ou Antidote (Edition Miel Book),my soulmate,Playlist,FRD3G2001050,1089479832
Le Mâle Honnête,Dadju,Poison Ou Antidote (Edition Miel Book),my soulmate,Playlist,FRD3G2001060,1089479852
Vixen,Miguel,All I Want Is You,my soulmate,Playlist,USJI11000252,7675659
Tru,Lloyd,Tru - Single,my soulmate,Playlist,USUYG1101262,124268778
This City,Sam Fischer,This City,my soulmate,Playlist,TCADL1840559,828327782
Gallery,Mario Vazquez,Mario Vazquez,my soulmate,Playlist,USAR10600082,534752
Ridin For My Love,NO1-NOAH,Ridin For My Love,my soulmate,Playlist,USUM72022129,1142421302
Stuck On You,GIVĒON,When It's All Said And Done,my soulmate,Playlist,USSM12005370,1090761132
Cœur noir,Eva,Feed Collector,my soulmate,Playlist,FXQ022000227,1137683972
Love,Keyshia Cole,Just Like You,my soulmate,Playlist,USAM10500210,885971
Beautiful,Mali Music,Mali Is...,my soulmate,Playlist,USRC11301531,79100345
Unfaithful (Album Version),Rihanna,A Girl Like Me,my soulmate,Playlist,USUM70601995,1574666
Avenue,H.E.R.,H.E.R.,my soulmate,Playlist,USRC11701142,417767112
Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,my soulmate,Playlist,USAT21001985,8011855
Chicago Freestyle,Drake,Dark Lane Demo Tapes,my soulmate,Playlist,USUG12001407,947861082
lovely,Billie Eilish,lovely,my soulmate,Playlist,USUM71804190,486928932
Jolie madame (feat. Ronisia),Joé Dwet Filé,Jolie madame (feat. Ronisia),my soulmate,Playlist,FR7JB2100120,1298524752
Lockdown,Original Koffee,Lockdown,my soulmate,Playlist,GBARL2000776,1016146752
Peaches,Justin Bieber,Justice,my soulmate,Playlist,USUM72102636,1280165222
Aime-moi demain (feat. Gradur),The Shin Sekaï,Aime-moi demain (feat. Gradur),my soulmate,Playlist,FR7U61400804,117513852
Toi & moi,Fally Ipupa,"Power ""Kosa Leka"", Vol. 2",my soulmate,Playlist,FR7P81300140,66211788
Before You Go,Lewis Capaldi,Before You Go,my soulmate,Playlist,DEUM71905868,807205422
Heartbreak Anniversary,GIVĒON,TAKE TIME,my soulmate,Playlist,USSM12000998,909312242
Love You Different,Justin Bieber,Justice (Triple Chucks Deluxe),my soulmate,Playlist,USUM72102637,1287302092
Minefields,Faouzia,Minefields,my soulmate,Playlist,USAT22006815,1118025282
slower,Tate McRae,slower,my soulmate,Playlist,USRC12100025,1255135162
